year,month,admissions
2015,January,192
2015,February,201
2015,March,249
2015,April,244
2015,May,223
2015,June,223
2015,July,212
2015,August,200
2015,September,168
2015,October,172
2015,November,150
2015,December,179
2016,January,207
2016,February,236
2016,March,265
2016,April,254
2016,May,235
2016,June,216
2016,July,231
2016,August,198
2016,September,182
2016,October,167
2016,November,180
2016,December,180
2017,January,228
2017,February,229
2017,March,254
2017,April,256
2017,May,219
2017,June,239
2017,July,213
2017,August,201
2017,September,189
2017,October,205
2017,November,193
2017,December,208
2018,January,241
2018,February,266
2018,March,276
2018,April,279
2018,May,279
2018,June,226
2018,July,261
2018,August,235
2018,September,203
2018,October,179
2018,November,215
2018,December,207
2019,January,254
2019,February,252
2019,March,309
2019,April,270
2019,May,283
2019,June,242
2019,July,247
2019,August,222
2019,September,227
2019,October,202
2019,November,227
2019,December,215
2020,January,256
2020,February,276
2020,March,300
2020,April,304
2020,May,303
2020,June,283
2020,July,267
2020,August,229
2020,September,230
2020,October,239
2020,November,205
2020,December,245
2021,January,280
2021,February,309
2021,March,315
2021,April,313
2021,May,311
2021,June,283
2021,July,267
2021,August,235
2021,September,255
2021,October,237
2021,November,226
2021,December,255
2022,January,297
2022,February,315
2022,March,307
2022,April,286
2022,May,323
2022,June,293
2022,July,291
2022,August,275
2022,September,262
2022,October,264
2022,November,264
2022,December,284
2023,January,312
2023,February,333
2023,March,330
2023,April,320
2023,May,360
2023,June,316
2023,July,310
2023,August,269
2023,September,272
2023,October,226
2023,November,256
2023,December,274
2024,January,313
2024,February,340
2024,March,329
2024,April,355
2024,May,357
2024,June,356
2024,July,316
2024,August,282
2024,September,258
2024,October,289
2024,November,282
2024,December,287
