id,belongs_to_collection,budget,genres,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,title,Keywords,cast,crew,revenue
1,Hot Tub Time Machine 2,14000000,"[{""name"": ""Comedy""}]",,tt2637294,en,Hot Tub Time Machine 2,Time travel comedy.,6.575393,/poster1.jpg,"[{""name"": ""Paramount Pictures""}]","[{""iso_3166_1"": ""US""}]",2/20/15,93.0,"[{""name"": ""English""}]",Released,The Laws of Space and Time,Hot Tub Time Machine 2,time travel,"[{""name"": ""Rob Corddry""}]","[{""name"": ""Steve Pink"", ""job"": ""Director""}]",12314651
2,The Princess Diaries 2: Royal Engagement,40000000,"[{""name"": ""Comedy""}, {""name"": ""Drama""}]",,tt0368933,en,The Princess Diaries 2: Royal Engagement,A princess prepares for marriage.,8.248895,/poster2.jpg,"[{""name"": ""Walt Disney Pictures""}]","[{""iso_3166_1"": ""US""}]",8/6/04,113.0,"[{""name"": ""English""}]",Released,It can take a lifetime to find true love.,The Princess Diaries 2: Royal Engagement,princess|royalty,"[{""name"": ""Anne Hathaway""}]","[{""name"": ""Garry Marshall"", ""job"": ""Director""}]",95149435
3,Whiplash,3300000,"[{""name"": ""Drama""}]",http://sonyclassics.com/whiplash/,tt2582802,en,Whiplash,A young drummer faces a ruthless instructor.,64.29999,/poster3.jpg,"[{""name"": ""Bold Films""}]","[{""iso_3166_1"": ""US""}]",10/10/14,105.0,"[{""name"": ""English""}]",Released,The road to greatness can take you to the edge.,Whiplash,jazz|music,"[{""name"": ""Miles Teller""}]","[{""name"": ""Damien Chazelle"", ""job"": ""Director""}]",13092000
4,Kahaani,1200000,"[{""name"": ""Thriller""}, {""name"": ""Drama""}]",http://kahaanithefilm.com/,tt1821480,hi,Kahaani,A woman searches for her missing husband in Kolkata.,3.174936,/poster4.jpg,,"[{""iso_3166_1"": ""IN""}]",3/9/12,122.0,"[{""name"": ""English|Hindi""}]",Released,,Kahaani,mystery|kolkata,"[{""name"": ""Vidya Balan""}]","[{""name"": ""Sujoy Ghosh"", ""job"": ""Director""}]",16000000
5,Marine Boy,0,"[{""name"": ""Action""}, {""name"": ""Thriller""}]",,tt1380152,ko,Marine Boy,A former swimmer becomes involved in crime.,1.14807,/poster5.jpg,,"[{""iso_3166_1"": ""KR""}]",2/5/09,118.0,"[{""name"": ""Korean""}]",Released,,Marine Boy,,"[{""name"": ""Kim Kang-woo""}]","[{""name"": ""Yoon Jong-chan"", ""job"": ""Director""}]",3923970
6,Inception,160000000,"[{""name"": ""Action""}, {""name"": ""Sci-Fi""}]",https://example.com/inception,tt1375666,en,Inception,A thief enters dreams to steal secrets.,82.5,/poster6.jpg,"[{""name"": ""Warner Bros.""}]","[{""iso_3166_1"": ""US""}]",7/16/10,148.0,"[{""name"": ""English""}]",Released,Your mind is the scene of the crime.,Inception,dream|heist,"[{""name"": ""Leonardo DiCaprio""}]","[{""name"": ""Christopher Nolan"", ""job"": ""Director""}]",839000000
7,The Dark Knight,185000000,"[{""name"": ""Action""}, {""name"": ""Crime""}, {""name"": ""Drama""}]",,tt0468569,en,The Dark Knight,Batman faces the Joker.,90.1,/poster7.jpg,"[{""name"": ""Warner Bros.""}]","[{""iso_3166_1"": ""US""}]",7/18/08,152.0,"[{""name"": ""English""}]",Released,Why so serious?,The Dark Knight,joker|batman,"[{""name"": ""Christian Bale""}]","[{""name"": ""Christopher Nolan"", ""job"": ""Director""}]",1004558444
8,3 Idiots,550000000,"[{""name"": ""Comedy""}, {""name"": ""Drama""}]",https://example.com/3idiots,tt1187043,hi,3 Idiots,Three friends navigate college and life.,25.3,/poster8.jpg,"[{""name"": ""Vinod Chopra Films""}]","[{""iso_3166_1"": ""IN""}]",12/25/09,170.0,"[{""name"": ""Hindi""}]",Released,All is well.,3 Idiots,college|friendship,"[{""name"": ""Aamir Khan""}]","[{""name"": ""Rajkumar Hirani"", ""job"": ""Director""}]",2000000000
9,Parasite,11400000,"[{""name"": ""Drama""}, {""name"": ""Thriller""}]",,tt6751668,ko,Parasite,Two families become entangled in a strange situation.,55.7,/poster9.jpg,"[{""name"": ""Barunson E&A""}]","[{""iso_3166_1"": ""KR""}]",5/30/19,132.0,"[{""name"": ""Korean""}]",Released,Act like you own the place.,Parasite,family|class,"[{""name"": ""Song Kang-ho""}]","[{""name"": ""Bong Joon Ho"", ""job"": ""Director""}]",258000000
10,The Terminal,60000000,"[{""name"": ""Comedy""}, {""name"": ""Drama""}]",http://www.theterminal-themovie.com/,tt0362227,en,The Terminal,A man becomes stranded in an airport.,14.092373,/poster10.jpg,"[{""name"": ""DreamWorks SKG""}]","[{""iso_3166_1"": ""US""}]",6/17/04,128.0,"[{""name"": ""English""}]",Released,Life is waiting.,The Terminal,airport|new york,"[{""name"": ""Tom Hanks""}]","[{""name"": ""Steven Spielberg"", ""job"": ""Director""}]",219417255
